ID,Imie,Nazwisko,Wydzia³,Katedra,Tytu³ naukowy,email
1,Dorota,Kunda,Wydzia³ Elektrotechniki i Automatyki,Katedra Systemów Geoinformatycznych,doktor habilitowny,dorota.kunda@studentbook.com
2,Anastazja,Doktór,Wydzia³ Mechaniczny,Katedra Systemów Geoinformatycznych,doktor,anastazja.doktór@studentbook.com
3,Konrad,Kawala,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Architektury Systemów Komputerowych,profesor,konrad.kawala@studentbook.com
4,Natan,Madera,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra In¿ynierii Mikrofalowej i Antenowej,magister,natan.madera@studentbook.com
5,Artur,Kramer,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Metrologii i Optoelektroniki,in¿ynier,artur.kramer@studentbook.com
6,Witold,Giezek,Wydzia³ Elektrotechniki i Automatyki,Katedra In¿ynierii Oprogramowania,doktor,witold.giezek@studentbook.com
7,Olgierd,Gendera,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Systemów Multimedialnych,magister,olgierd.gendera@studentbook.com
8,Jacek,Korzeniak,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Sygna³ów i Systemów,doktor habilitowny,jacek.korzeniak@studentbook.com
9,Pawe³,B³aziak,Wydzia³ Mechaniczny,Katedra In¿ynierii Biomedycznej,magister,pawe³.b³aziak@studentbook.com
10,Kaja,£acina,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Systemów Multimedialnych,magister,kaja.³acina@studentbook.com
11,Olgierd,Romañczyk,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Inteligentnych Systemów Interaktywnych,doktor habilitowny,olgierd.romañczyk@studentbook.com
12,Daniel,Pietraszkiewicz,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra In¿ynierii Materia³ów Funkcjonalnych,doktor,daniel.pietraszkiewicz@studentbook.com
13,Julita,Zago¿d¿on,Wydzia³ Architektury,Katedra In¿ynierii Biomedycznej,in¿ynier,julita.zago¿d¿on@studentbook.com
14,Blanka,Korab,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Systemów Multimedialnych,magister,blanka.korab@studentbook.com
15,Jeremi,Kolanek,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra In¿ynierii Materia³ów Funkcjonalnych,in¿ynier,jeremi.kolanek@studentbook.com
