ID,Imie,Nazwisko,P³eæ,Data urodzenia,Adres
1,Emil,P³odzieñ,mê¿czyzna,1995-03-02,al. Wróblewskiego 99/35 21-356 Pruszcz Gdañski
2,Gaja,Kunysz,kobieta,1990-11-02,pl. Kasprowicza 715 95-443 Marki
3,Natasza,Rutowicz,kobieta,1987-09-09,pl. Sucharskiego 375 04-218 Myszków
4,Dominik,Opas,mê¿czyzna,1983-10-17,plac Jana III Sobieskiego 65 76-555 Jaworzno
5,Kaja,Piotrkowicz,kobieta,1995-04-03,aleja Lazurowa 27/20 60-682 G³ogów
6,Ryszard,Filus,mê¿czyzna,1999-11-18,aleja Kopernika 67 07-596 P³oñsk
7,Kornelia,Bugiel,kobieta,1999-06-17,ulica Czereœniowa 352 91-699 Brodnica
8,Albert,Majerczyk,mê¿czyzna,1991-05-17,ul. Porzeczkowa 88/97 68-998 Zgorzelec
9,Angelika,Sapeta,kobieta,2000-11-12,plac Klasztorna 233 61-350 Luboñ
10,Angelika,B³asik,kobieta,1991-12-29,ulica Staszica 654 46-986 Zgorzelec
11,Mieszko,£uszczyk,mê¿czyzna,1988-06-09,aleja Malinowa 517 68-249 Gdynia
12,Tola,Czuj,kobieta,2001-10-07,pl. Partyzantów 70 08-867 Legionowo
13,Maks,Bartoœ,mê¿czyzna,1987-03-23,aleja Wschodnia 99 13-175 Krosno
14,Pawe³,Chyb,mê¿czyzna,1997-02-08,al. Hutnicza 13/69 19-622 Sandomierz
15,Melania,W³adyka,kobieta,1999-06-30,pl. Lwowska 07 77-905 I³awa
16,Marcin,Goral,mê¿czyzna,2005-01-01,plac Weso³a 953 95-538 Nysa
17,Tymoteusz,Kranc,mê¿czyzna,1992-01-05,plac Dworska 54 84-473 £ódŸ
18,Natan,Bok,mê¿czyzna,2002-06-17,ulica Che³moñskiego 086 88-058 Gorlice
19,Alan,Bela,mê¿czyzna,1991-06-16,aleja Bema 698 15-001 Kutno
20,Aleksander,Sojda,mê¿czyzna,1994-10-23,aleja Ceglana 69/68 41-963 Nysa
21,Klara,Kurach,kobieta,1992-02-24,ulica Pó³nocna 24 79-726 Kutno
22,Daniel,Jagie³o,mê¿czyzna,1983-11-22,ulica Wodna 73/34 59-663 Polkowice
23,Adrianna,Gorzelañczyk,kobieta,1984-03-15,ul. Stycznia 93/23 66-831 Lublin
24,Tymoteusz,Sajda,mê¿czyzna,1990-03-09,pl. Grabowa 266 95-777 Skawina
25,Kornel,Lampart,mê¿czyzna,1999-05-13,ulica Lipca 14/48 05-844 Zabrze
26,Grzegorz,Cydzik,mê¿czyzna,1984-03-10,aleja Listopada 58 46-395 Sopot
