ID,Imię,Nazwisko,Katedra,Tytuł naukowy,email
1,Marcin,Lejk,Katedra Systemów Mikroelektronicznych,doktor,marcin.lejk@studentbook.com
2,Justyna,Dziewit,Katedra Sygnałów i Systemów,profesor,justyna.dziewit@studentbook.com
3,Norbert,Ziętal,Katedra Sieci Teleinformacyjnych,profesor,norbert.ziętal@studentbook.com
4,Ksawery,Jarmuła,Katedra Inżynierii Biomedycznej,doktor habilitowny,ksawery.jarmuła@studentbook.com
5,Bartek,Furmankiewicz,Katedra Inżynierii Oprogramowania,doktor habilitowny,bartek.furmankiewicz@studentbook.com
6,Kaja,Igras,Katedra Inżynierii Biomedycznej,doktor habilitowny,kaja.igras@studentbook.com
7,Antoni,Matyka,Katedra Inżynierii Mikrofalowej i Antenowej,doktor,antoni.matyka@studentbook.com
8,Fabian,Kretowicz,Katedra Architektury Systemów Komputerowych,doktor,fabian.kretowicz@studentbook.com
9,Agnieszka,Siarkiewicz,Katedra Inteligentnych Systemów Interaktywnych,profesor,agnieszka.siarkiewicz@studentbook.com
10,Malwina,Andruszko,Katedra Inżynierii Mikrofalowej i Antenowej,magister,malwina.andruszko@studentbook.com
11,Julianna,Krysta,Katedra Teleinformatyki,profesor,julianna.krysta@studentbook.com
12,Tymoteusz,Wocial,Katedra Inteligentnych Systemów Interaktywnych,inżynier,tymoteusz.wocial@studentbook.com
13,Anita,Zbroszczyk,Katedra Metrologii i Optoelektroniki,doktor habilitowny,anita.zbroszczyk@studentbook.com
14,Ksawery,Czuj,Katedra Inteligentnych Systemów Interaktywnych,magister,ksawery.czuj@studentbook.com
15,Roksana,Wąsek,Katedra Inżynierii Biomedycznej,inżynier,roksana.wąsek@studentbook.com
16,Agnieszka,Wosiek,Katedra Sygnałów i Systemów,doktor habilitowny,agnieszka.wosiek@studentbook.com
17,Nataniel,Rycerz,Katedra Inżynierii Materiałów Funkcjonalnych,magister,nataniel.rycerz@studentbook.com
18,Marianna,Sabała,Katedra Systemów i Sieci Radiokomunikacyjnych,doktor habilitowny,marianna.sabała@studentbook.com
19,Monika,Micał,Katedra Inżynierii Biomedycznej,inżynier,monika.micał@studentbook.com
20,Ryszard,Dawidek,Katedra Teleinformatyki,inżynier,ryszard.dawidek@studentbook.com
21,Damian,Franczuk,Katedra Systemów Multimedialnych,profesor,damian.franczuk@studentbook.com
22,Krystyna,Kęsek,Katedra Inżynierii Mikrofalowej i Antenowej,inżynier,krystyna.kęsek@studentbook.com
23,Ada,Kurzak,Katedra Algorytmów i Modelowania Systemów,profesor,ada.kurzak@studentbook.com
24,Aleks,Maleszka,Katedra Inżynierii Oprogramowania,profesor,aleks.maleszka@studentbook.com
25,Tomasz,Prokurat,Katedra Systemów Decyzyjnych i Robotyki,doktor habilitowny,tomasz.prokurat@studentbook.com
26,Emil,Dzika,Katedra Algorytmów i Modelowania Systemów,doktor,emil.dzika@studentbook.com
27,Kamila,Maruszczyk,Katedra Inżynierii Mikrofalowej i Antenowej,doktor,kamila.maruszczyk@studentbook.com
28,Oskar,Panicz,Katedra Sygnałów i Systemów,doktor habilitowny,oskar.panicz@studentbook.com
29,Dagmara,Pieszak,Katedra Architektury Systemów Komputerowych,profesor,dagmara.pieszak@studentbook.com
30,Anna Maria,Godyń,Katedra Metrologii i Optoelektroniki,profesor,anna maria.godyń@studentbook.com
