ID,Imię,Nazwisko,Płeć,Data urodzenia,Adres,Odznaki
1,Patryk,Gałęza,mężczyzna,12-04-1992,plac Krokusowa 379 83-700 Konin,"['Mistrz Kodowania', 'Kreatywny Problem Solver', 'Ekspercki Analizator Danych']"
2,Mariusz,Armatys,mężczyzna,17-09-2005,ul. Bolesława Chrobrego 24/16 42-414 Kętrzyn,[]
3,Monika,Łaszcz,kobieta,27-06-1994,al. Orzeszkowej 82/74 06-570 Łaziska Górne,"['Ambitny Naukowiec', 'Technologiczny Wizjoner', 'Technologiczny Wizjoner']"
4,Gabriel,Pyrz,mężczyzna,22-05-1988,plac Rataja 67/55 18-586 Koło,['Zaangażowany Twórca']
5,Aurelia,Siergiej,kobieta,12-12-1994,ul. Jadwigi 88/92 28-985 Pszczyna,['Ambitny Naukowiec']
6,Błażej,Kleina,mężczyzna,30-11-1989,al. Borowa 29 90-379 Świnoujście,[]
7,Franciszek,Syroka,mężczyzna,02-09-2005,aleja Zakole 76/00 15-557 Lubliniec,['Innowacyjny Programista']
8,Nikodem,Kuchciak,mężczyzna,22-08-1996,al. Glówna 66 94-125 Giżycko,[]
9,Urszula,Garbacik,kobieta,07-02-2001,plac Polna 49/89 58-897 Inowrocław,"['Wielki Odkrywca', 'Innowacyjny Programista', 'Zaangażowany Twórca', 'Guru Matematyki']"
10,Ewa,Sobiło,kobieta,10-01-2001,ul. Tęczowa 833 32-401 Legnica,"['Doskonały Komunikator', 'Mistrz Kodowania', 'Ambitny Naukowiec']"
11,Julian,Mich,mężczyzna,28-03-1999,plac Wyszyńskiego 961 84-268 Tychy,[]
12,Józef,Paściak,mężczyzna,03-04-2004,plac Agrestowa 277 79-292 Gdańsk,['Zaangażowany Twórca']
13,Agnieszka,Brodawka,kobieta,19-06-2001,ul. Owocowa 67/65 88-765 Warszawa,"['Wielki Odkrywca', 'Zaangażowany Twórca', 'Kreatywny Problem Solver', 'Wielki Odkrywca']"
14,Mieszko,Hajdukiewicz,mężczyzna,20-08-1983,plac Wierzbowa 277 75-835 Racibórz,"['Mistrz Kodowania', 'Wielki Odkrywca', 'Doskonały Komunikator', 'Ambitny Naukowiec']"
15,Bartek,Berus,mężczyzna,28-12-1995,aleja Wiśniowa 52/54 36-073 Tomaszów Mazowiecki,"['Ekspercki Analizator Danych', 'Kreatywny Problem Solver', 'Guru Matematyki']"
16,Krystyna,Zimniak,kobieta,16-07-1992,ul. Gałczynskiego 31/28 78-614 Ruda Śląska,[]
17,Paweł,Zawalich,mężczyzna,15-11-1993,pl. Podleśna 74/90 34-420 Brodnica,['Ambitny Naukowiec']
18,Jakub,Dzikiewicz,mężczyzna,20-02-1992,pl. Morelowa 37 73-287 Kielce,['Technologiczny Wizjoner']
19,Nela,Styn,kobieta,30-01-2005,aleja Rolna 08/62 49-495 Inowrocław,"['Guru Matematyki', 'Mistrz Kodowania', 'Zaangażowany Twórca', 'Zaangażowany Twórca']"
20,Julian,Mrotek,mężczyzna,09-02-1993,aleja Skłodowskiej-Curie 26 74-644 Bielawa,"['Ambitny Naukowiec', 'Mistrz Kodowania', 'Innowacyjny Programista']"
21,Emil,Machowicz,mężczyzna,02-01-1991,ul. Jana Pawła II 55 82-562 Czeladź,"['Innowacyjny Programista', 'Technologiczny Wizjoner', 'Doskonały Komunikator', 'Ekspercki Analizator Danych']"
22,Błażej,Zadora,mężczyzna,01-10-1991,aleja Grunwaldzka 50 62-478 Grudziądz,"['Doskonały Komunikator', 'Doskonały Komunikator']"
23,Tola,Swatek,kobieta,07-10-1994,pl. Krokusowa 60/50 51-363 Chrzanów,"['Kreatywny Problem Solver', 'Guru Matematyki', 'Kreatywny Problem Solver']"
24,Monika,Grubba,kobieta,28-11-1990,pl. Okulickiego 19 34-106 Biała Podlaska,[]
25,Bartek,Juraszczyk,mężczyzna,18-07-1986,ul. Prosta 25/48 39-716 Gorzów Wielkopolski,"['Technologiczny Wizjoner', 'Wielki Odkrywca']"
26,Klara,Bielat,kobieta,25-07-1986,pl. Cisowa 72 89-105 Inowrocław,[]
27,Ada,Banachowicz,kobieta,29-06-1996,aleja Listopada 86 23-321 Kościan,[]
28,Gaja,Królikiewicz,kobieta,26-12-1997,al. Popiełuszki 16/18 40-171 Bielsk Podlaski,"['Ambitny Naukowiec', 'Technologiczny Wizjoner', 'Zaangażowany Twórca', 'Ambitny Naukowiec']"
29,Marika,Kruś,kobieta,12-09-1996,ul. Kosynierów 899 60-822 Reda,['Mistrz Kodowania']
