ID,Imię,Nazwisko,Katedra,Tytuł naukowy,email
1,Przemysław,Kruś,Katedra Inżynierii Mikrofalowej i Antenowej,inżynier,przemysław.kruś@studentbook.com
2,Daniel,Marciniszyn,Katedra Inżynierii Materiałów Funkcjonalnych,doktor,daniel.marciniszyn@studentbook.com
3,Jerzy,Rycerz,Katedra Systemów Geoinformatycznych,inżynier,jerzy.rycerz@studentbook.com
4,Alex,Żołna,Katedra Systemów Decyzyjnych i Robotyki,doktor,alex.żołna@studentbook.com
5,Andrzej,Kryszkiewicz,Katedra Teleinformatyki,doktor,andrzej.kryszkiewicz@studentbook.com
6,Juliusz,Fiołek,Katedra Systemów Decyzyjnych i Robotyki,magister,juliusz.fiołek@studentbook.com
7,Franciszek,Szymocha,Katedra Inteligentnych Systemów Interaktywnych,profesor,franciszek.szymocha@studentbook.com
8,Mikołaj,Jeszka,Katedra Algorytmów i Modelowania Systemów,doktor habilitowny,mikołaj.jeszka@studentbook.com
9,Igor,Kasica,Katedra Systemów i Sieci Radiokomunikacyjnych,doktor habilitowny,igor.kasica@studentbook.com
10,Jacek,Staręga,Katedra Metrologii i Optoelektroniki,doktor,jacek.staręga@studentbook.com
11,Marika,Kołpak,Katedra Inżynierii Oprogramowania,doktor,marika.kołpak@studentbook.com
12,Sebastian,Bartocha,Katedra Inteligentnych Systemów Interaktywnych,doktor habilitowny,sebastian.bartocha@studentbook.com
13,Sonia,Rutowicz,Katedra Inżynierii Oprogramowania,magister,sonia.rutowicz@studentbook.com
14,Norbert,Szykuła,Katedra Sygnałów i Systemów,magister,norbert.szykuła@studentbook.com
15,Oskar,Kazimierczyk,Katedra Inteligentnych Systemów Interaktywnych,magister,oskar.kazimierczyk@studentbook.com
16,Nicole,Drewa,Katedra Systemów Geoinformatycznych,inżynier,nicole.drewa@studentbook.com
17,Arkadiusz,Żelasko,Katedra Inżynierii Materiałów Funkcjonalnych,inżynier,arkadiusz.żelasko@studentbook.com
18,Marcelina,Kwoka,Katedra Sygnałów i Systemów,doktor,marcelina.kwoka@studentbook.com
19,Maks,Lew,Katedra Systemów Mikroelektronicznych,magister,maks.lew@studentbook.com
20,Rozalia,Ernst,Katedra Systemów Mikroelektronicznych,doktor habilitowny,rozalia.ernst@studentbook.com
21,Janina,Wojnicz,Katedra Inżynierii Mikrofalowej i Antenowej,magister,janina.wojnicz@studentbook.com
22,Wojciech,Raszkiewicz,Katedra Inteligentnych Systemów Interaktywnych,doktor habilitowny,wojciech.raszkiewicz@studentbook.com
23,Mateusz,Perlik,Katedra Systemów Decyzyjnych i Robotyki,doktor,mateusz.perlik@studentbook.com
24,Mikołaj,Prokopiak,Katedra Teleinformatyki,doktor,mikołaj.prokopiak@studentbook.com
25,Olgierd,Łuczka,Katedra Inteligentnych Systemów Interaktywnych,doktor,olgierd.łuczka@studentbook.com
26,Radosław,Żugaj,Katedra Sygnałów i Systemów,inżynier,radosław.żugaj@studentbook.com
27,Artur,Rodzeń,Katedra Inżynierii Oprogramowania,profesor,artur.rodzeń@studentbook.com
28,Maks,Filek,Katedra Inżynierii Biomedycznej,profesor,maks.filek@studentbook.com
29,Marcelina,Pietrusiak,Katedra Inżynierii Biomedycznej,magister,marcelina.pietrusiak@studentbook.com
30,Sonia,Sereda,Katedra Inżynierii Oprogramowania,profesor,sonia.sereda@studentbook.com
31,Marianna,Styn,Katedra Systemów Decyzyjnych i Robotyki,doktor,marianna.styn@studentbook.com
32,Michał,Lenarcik,Katedra Inżynierii Materiałów Funkcjonalnych,doktor,michał.lenarcik@studentbook.com
33,Anita,Siwka,Katedra Systemów Mikroelektronicznych,magister,anita.siwka@studentbook.com
