ID,Imię,Nazwisko,Płeć,Data urodzenia,Adres,Odznaki
1,Oskar,Szybiak,mężczyzna,23-09-2002,plac Wodna 923 42-072 Wodzisław Śląski,['Kreatywny Problem Solver']
2,Wiktor,Wochnik,mężczyzna,15-02-1990,ulica Krokusowa 109 40-324 Mysłowice,"['Doskonały Komunikator', 'Kreatywny Problem Solver']"
3,Jędrzej,Boksa,mężczyzna,03-11-1993,al. Daleka 85/33 02-055 Białystok,"['Wielki Odkrywca', 'Ekspercki Analizator Danych']"
4,Bruno,Ciesielczyk,mężczyzna,11-06-1992,pl. Zakole 99/36 88-309 Krotoszyn,"['Technologiczny Wizjoner', 'Innowacyjny Programista']"
5,Bianka,Rajtar,kobieta,10-12-1985,pl. Gajowa 86/47 99-103 Wołomin,"['Wielki Odkrywca', 'Doskonały Komunikator', 'Technologiczny Wizjoner', 'Zaangażowany Twórca']"
6,Stanisław,Wódka,mężczyzna,21-10-2002,al. Koralowa 60/41 78-279 Bartoszyce,[]
7,Leonard,Kiełbus,mężczyzna,29-06-1993,aleja Kazimierza Wielkiego 281 88-097 Poznań,['Guru Matematyki']
8,Dawid,Rysz,mężczyzna,08-09-1990,aleja Krzywa 44/86 51-181 Słupsk,"['Kreatywny Problem Solver', 'Zaangażowany Twórca', 'Kreatywny Problem Solver']"
9,Aleksander,Imiołczyk,mężczyzna,21-04-1995,aleja Listopada 36/78 88-750 Bełchatów,"['Zaangażowany Twórca', 'Guru Matematyki', 'Zaangażowany Twórca']"
10,Adrianna,Maraszek,kobieta,17-09-1986,pl. Zacisze 35/81 08-795 Świecie,['Mistrz Kodowania']
11,Witold,Ledzion,mężczyzna,30-03-1992,plac Kaszubska 148 95-473 Piotrków Trybunalski,"['Guru Matematyki', 'Zaangażowany Twórca', 'Doskonały Komunikator']"
12,Olgierd,Koman,mężczyzna,26-12-1992,aleja Wilcza 40 66-629 Marki,"['Wielki Odkrywca', 'Wielki Odkrywca']"
13,Borys,Macha,mężczyzna,26-02-1999,ulica Kreta 42 80-796 Mława,"['Zaangażowany Twórca', 'Ekspercki Analizator Danych']"
14,Sonia,Dzienisz,kobieta,15-01-1993,pl. Chmielna 89/47 09-937 Lubliniec,[]
15,Julianna,Patrzałek,kobieta,10-07-1985,ul. Lipowa 189 87-782 Krotoszyn,"['Doskonały Komunikator', 'Technologiczny Wizjoner', 'Ambitny Naukowiec', 'Zaangażowany Twórca']"
16,Krzysztof,Plizga,mężczyzna,12-12-1995,plac Skargi 44/97 23-972 Nysa,"['Doskonały Komunikator', 'Mistrz Kodowania', 'Guru Matematyki']"
17,Marek,Rudzik,mężczyzna,24-12-1997,pl. Osiedlowa 78/28 32-615 Mława,"['Kreatywny Problem Solver', 'Technologiczny Wizjoner', 'Kreatywny Problem Solver']"
18,Aniela,Rolak,kobieta,11-04-1989,al. Malinowa 39 52-186 Police,['Technologiczny Wizjoner']
19,Mateusz,Godzwon,mężczyzna,28-11-1997,plac Stefana Batorego 165 85-415 Zabrze,[]
20,Natan,Forma,mężczyzna,26-02-1990,ul. Floriana 41 85-845 Goleniów,[]
21,Malwina,Bandyk,kobieta,25-01-1986,al. Jaworowa 68/16 61-438 Mikołów,"['Mistrz Kodowania', 'Mistrz Kodowania', 'Zaangażowany Twórca']"
